Row,Time,Temperature1(Voltage),Temperature2(Voltage),Temperature3(Voltage),Temperature4(Voltage),Temperature5(Voltage),Temperature6(Voltage),Temperature7(Voltage),Temperature8(Voltage),Temperature9(Voltage),Temperature10(Voltage),Temperature11(Voltage),Temperature12(Voltage),Temperature13(Voltage),Temperature14(Voltage),Temperature15(Voltage),Temperature16(Voltage),Temperature17(Voltage),Temperature18(Voltage),Temperature19(Voltage),Temperature20(Voltage),Temperature21(Voltage),Temperature22(Voltage),Temperature23(Voltage),Temperature24(Voltage),Temperature25(Voltage),Temperature26(Voltage),Temperature27(Voltage),Temperature28(Voltage),Temperature29(Voltage),Temperature30(Voltage),Temperature31(Voltage),Temperature32(Voltage),Temperature33(Voltage),Temperature34(Voltage),Temperature35(Voltage),Temperature36(Voltage),Temperature37(Voltage),Temperature38(Voltage),Temperature39(Voltage),Temperature40(Voltage),Temperature41(Voltage),Temperature42(Voltage),Temperature43(Voltage),Temperature44(Voltage),Temperature45(Voltage),Temperature46(Voltage),Temperature47(Voltage),Temperature48(Voltage),Temperature49(Voltage),Temperature50(Voltage),Temperature51(Voltage),Temperature52(Voltage),Temperature53(Voltage),Temperature54(Voltage),Temperature55(Voltage),Temperature56(Voltage),Temperature57(Voltage),Temperature58(Voltage),Temperature59(Voltage),Temperature60(Voltage),Temperature61(Voltage),Temperature62(Voltage),Temperature63(Voltage),Temperature64(Voltage),Temperature65(Voltage),Temperature66(Voltage),Temperature67(Voltage),Temperature68(Voltage),Temperature69(Voltage),Temperature70(Voltage),Temperature71(Voltage),Temperature72(Voltage),Temperature73(Voltage),Temperature74(Voltage),Temperature75(Voltage),Temperature76(Voltage),Temperature77(Voltage),Temperature78(Voltage),Temperature79(Voltage),Temperature80(Voltage),Temperature81(Voltage),Temperature82(Voltage),Temperature83(Voltage),Temperature84(Voltage),Temperature85(Voltage),Temperature86(Voltage),Temperature87(Voltage),Temperature88(Voltage),Temperature89(Voltage),Temperature90(Voltage),Temperature91(Voltage),Temperature92(Voltage),Temperature93(Voltage),Temperature94(Voltage),Temperature95(Voltage),Temperature96(Voltage),Temperature97(Voltage),Temperature98(Voltage),Temperature99(Voltage),Temperature100(Voltage),Temperature101(Voltage),Temperature102(Voltage),Temperature103(Voltage),Temperature104(Voltage),Temperature105(Voltage),Temperature106(Voltage),Temperature107(Voltage),Temperature108(Voltage),Temperature109(Voltage),Temperature110(Voltage),Temperature111(Voltage),Temperature112(Voltage),Temperature113(Voltage),Temperature114(Voltage),Temperature115(Voltage),Temperature116(Voltage),Temperature117(Voltage),Temperature118(Voltage),Temperature119(Voltage),Temperature120(Voltage)
1,12:24:35 PM,26.7755,26.915,26.8414,27.0128,26.9294,26.8272,26.9532,26.7909,26.8051,26.9326,27.0384,26.9733,26.8834,26.8694,26.9852,27.0289,26.912,27.0042,27.0692,26.9359,27.104,27.0354,26.7162,26.8468,26.7877,27.0931,27.1541,27.0997,26.9969,26.7089,27.0064,27.008,26.9809,27.126,26.9029,27.1912,27.0045,27.0198,26.8868,27.0086,26.9782,27.0119,27.1886,27.1023,26.8648,27.0101,27.2708,27.0558,26.912,26.7341,27.2823,27.1043,27.0406,27.5858,27.0742,27.3984,27.118,27.0222,27.0639,26.9664,26.8561,26.748,26.687,27.001,26.7236,27.0267,26.8589,26.4062,26.6746,26.7591,27.4733,27.1276,26.9755,26.9793,26.96,26.881,26.849,26.7407,27.1558,26.9749,26.8056,26.784,26.7348,27.0241,26.6751,27.1512,26.999,27.3097,27.1896,26.6608,26.792,26.8179,26.7266,27.0024,26.3771,27.3665,26.9489,26.8954,27.0792,27.0878,26.9818,26.9518,27.0982,27.0474,26.9028,27.0362,27.0178,26.6642,27.0698,26.1951,27.4991,27.0807,26.9975,26.8395,26.804,27.0615,26.9451,27.0698,26.9763,26.8151
2,12:24:55 PM,26.7895,26.8734,27.0454,27.0008,27.1372,26.9936,26.9333,26.7239,26.8782,26.8322,26.8883,26.9644,27.0002,27.0642,26.8973,26.9532,26.9384,26.9584,26.8795,26.9675,27.1563,27.0518,26.8146,26.8108,26.6018,27.11,27.3213,27.0149,27.0389,26.8225,27.2316,27.1292,27.1813,27.2125,26.8778,27.0443,26.9591,27.2477,26.884,26.9426,26.8874,27.1169,27.4489,27.0923,26.8954,27.0705,27.1155,27.0487,26.7864,26.7038,27.2402,27.0856,27.0885,27.4027,27.159,27.4387,26.8755,27.1015,27.0938,26.9932,26.8042,26.7776,26.8429,27.1387,26.6512,27.0982,26.7303,26.5224,26.686,26.7795,27.3286,27.0606,27.1261,27.1741,26.9692,26.966,26.8296,26.6191,27.2355,27.11,26.9195,27.0191,26.7363,26.8742,26.5408,27.2691,26.9725,27.3058,27.1994,26.5377,26.721,26.891,26.7062,27.0222,26.4341,27.459,26.9835,26.8257,27.0277,27.0467,27.049,27.0237,27.0199,26.923,26.6442,26.8689,26.9775,26.6699,27.1036,26.4507,27.4623,26.9703,27.0503,26.9695,26.6882,27.008,26.9603,27.0561,27.0429,26.919
3,12:25:15 PM,26.7745,26.8251,26.8466,26.9861,26.9264,26.9056,27.0667,27.0201,26.802,26.835,26.9326,26.949,26.7951,26.9312,26.9903,26.8566,26.8794,27.0639,26.9719,26.8535,27.2044,26.9423,26.8092,26.8522,26.5173,27.1298,27.1807,27.148,26.993,26.8119,27.1093,27.1013,27.0494,26.9878,26.7697,27.0756,26.8774,27.135,27.0029,27.0987,27.078,27.0672,27.3348,27.2992,26.9131,27.0123,27.1805,27.2143,26.7589,26.7379,27.1406,26.9664,27.0563,27.49,27.1195,27.2992,26.9643,27.075,26.9442,26.9929,26.8528,26.7429,26.9581,27.036,26.7751,27.1416,26.7738,26.4836,26.7926,26.6488,27.495,27.0342,27.1192,27.0985,26.8357,26.7448,26.7211,26.7898,27.2036,27.2979,26.9555,27.0408,26.7819,26.8532,26.6209,27.0734,26.9975,27.1969,27.1185,26.5866,26.6662,26.8539,26.8908,26.9559,26.4278,27.3797,27.2944,26.8829,27.1007,26.9256,26.9501,27.101,26.9864,27.0847,26.7128,27.1282,27.0455,26.7112,27.23,26.3766,27.4099,26.9456,26.9704,26.9087,26.5744,27.0687,26.9942,27.0537,26.9383,26.6968
4,12:25:35 PM,26.8047,26.9701,26.9536,27.0175,26.8866,26.8738,27.0461,26.8652,27.1084,26.8594,26.8976,26.8323,27.1537,26.9701,26.9873,27.0437,26.9817,27.032,26.9247,26.9265,27.1656,26.9599,26.7658,26.7859,26.7542,27.1484,27.2261,26.9456,27.0149,26.7588,27.0493,27.2262,27.0987,27.1717,26.9178,27.0713,26.9258,27.0421,26.9039,27.1117,26.8387,27.1103,27.3667,27.204,26.9709,27.1685,27.1126,27.1272,26.8001,26.9441,27.2162,27.0051,27.1695,27.5065,26.8651,27.3444,26.9979,27.0048,27.102,26.751,26.9296,26.8983,26.8575,27.2303,26.8128,27.0967,26.6931,26.5407,26.6249,26.6405,27.4801,27.0745,27.0583,27.1278,26.9891,27.0335,26.9359,26.719,27.2643,27.1365,26.8523,27.1113,26.8242,26.9041,26.6222,27.105,26.9487,27.2834,27.0903,26.7195,26.8659,26.9398,26.7056,26.9132,26.3749,27.2996,27.2508,26.8953,27.0116,27.1574,26.9253,27.0682,27.1913,27.0676,26.5791,27.0429,26.9343,26.782,27.0836,26.3812,27.6589,27.0559,26.902,26.9297,26.7312,27.1101,26.918,27.0829,27.1145,26.8541
5,12:25:55 PM,26.7973,26.8565,26.9507,26.9629,26.9103,26.8682,27.1453,27.2025,27.013,26.8206,26.877,26.884,26.8986,26.8693,26.9321,26.9415,27.0516,27.0973,26.919,26.8478,27.1416,27.0522,26.8868,26.8164,26.5922,27.0746,27.3002,27.0712,27.0707,26.9213,27.0323,27.0482,26.9432,27.0684,26.9935,27.1751,27.0641,27.1482,27.0605,27.2415,26.8149,27.0595,27.2144,27.2207,26.9089,27.1495,27.1898,27.2701,26.7692,27.0004,27.3656,27.0541,26.8988,27.5727,27.1305,27.3942,26.9035,27.1352,27.0709,26.9946,26.7891,26.7353,26.7262,27.1946,26.737,27.0649,26.8925,26.6685,26.7347,26.8618,27.3621,27.2205,27.1296,27.1046,27.0767,27.0154,26.7525,26.7658,27.1239,27.0799,26.8831,26.8936,26.6456,26.9476,26.5671,27.1703,27.1405,27.3161,27.0891,26.6281,26.7699,26.9653,26.7166,26.8909,26.3211,27.606,27.0983,26.9895,27.0637,27.0902,26.75,27.1421,27.1762,27.1615,26.7552,27.1421,27.0326,26.8898,27.2784,26.2928,27.6246,27.0806,27.0621,26.7302,26.7183,27.1733,26.937,27.1468,27.1585,26.8885
6,12:26:15 PM,26.8679,26.7537,26.9542,27.058,26.9997,26.966,26.9908,26.9942,26.9817,26.8324,26.9634,27.0548,27.0257,27.2893,27.0164,27.0229,26.963,27.1655,26.8146,26.9487,27.2386,27.0276,26.8958,26.8027,26.6172,27.0645,27.2636,26.9675,26.9124,26.8187,27.2023,27.1245,27.1851,27.045,26.8929,27.2046,26.9174,27.1712,26.9713,27.0675,26.9573,27.0736,27.2182,27.2042,26.9741,27.0587,27.1257,27.1465,26.9961,26.7175,27.1931,27.0593,26.9291,27.5794,27.215,27.3909,26.9873,27.0402,27.2183,26.9571,26.6918,26.8447,26.8311,27.129,26.5944,27.161,26.769,26.529,26.8175,26.6959,27.496,27.1058,26.9879,27.0017,27.0314,26.8588,26.7941,26.8549,27.3359,27.1464,27.0732,27.1242,26.7899,26.9278,26.7064,27.13,26.9646,27.2756,27.0406,26.6089,26.7839,26.9464,26.8733,26.9547,26.3626,27.3284,27.1781,26.8767,27.0237,26.8693,26.9315,26.9798,27.1814,26.9376,26.8061,27.1096,27.0208,26.8122,27.1894,26.4148,27.6391,27.0334,27.0478,27.0531,26.6563,27.1612,26.9733,27.2463,27.1903,26.7708
7,12:26:35 PM,26.7569,26.8281,26.9635,27.0572,26.944,26.8607,27.0514,27.0221,26.9573,26.8713,26.9451,27.0233,27.0452,26.9093,27.0626,27.0975,27.1316,27.0424,27.0077,26.8302,27.1431,27.0515,26.9111,26.9897,26.7045,27.2385,27.2872,27.1874,27.0098,26.9541,27.1552,27.1649,26.9509,27.2009,26.9644,27.2715,27.0727,27.0053,26.9747,26.9196,26.993,27.0383,27.2861,27.171,27.0197,26.8945,27.2226,27.1348,26.838,26.7774,27.2304,27.0143,27.131,27.6807,27.1927,27.2179,26.9006,27.1112,27.1617,26.9611,26.7571,26.744,26.6625,27.0194,26.6716,27.0307,26.7786,26.547,26.9087,26.7014,27.4642,26.9948,27.1409,26.9981,27.0761,26.957,26.959,26.6864,27.2698,26.9914,26.8993,27.0068,26.8,26.9669,26.6672,26.9702,27.1213,27.2777,27.1695,26.6322,26.8423,26.8257,26.8734,27.0018,26.342,27.4611,27.0775,26.8112,27.1652,27.0476,26.912,27.0353,27.1143,27.0987,26.67,27.0892,26.9662,26.9135,27.3026,26.3556,27.6228,27.1158,26.9528,26.9715,26.8074,27.0624,27.133,27.207,27.1085,26.9163
8,12:26:55 PM,26.7855,26.8717,26.8097,27.0776,26.9221,26.8121,27.0976,26.8546,26.996,26.9139,26.9266,26.9383,26.9757,27.1136,27.0935,27.1101,26.7699,27.0914,26.9696,26.9636,27.2244,26.9592,26.6715,27.0004,26.8009,27.0425,27.315,27.0319,27.0098,26.8785,27.1381,27.1297,27.0015,27.2587,27.0071,27.1492,26.9767,27.1933,27.0863,27.003,26.8943,27.2104,27.3571,27.3045,27.1812,27.2568,27.0302,26.9839,26.9854,26.6439,27.2261,26.9551,26.9767,27.6657,27.2058,27.26,26.8885,27.0554,27.0991,26.8865,26.7553,26.8019,26.8109,27.1079,26.7992,27.057,26.8706,26.4199,26.7656,26.7429,27.3909,27.1619,27.1726,27.1287,26.9718,26.7983,26.8003,26.6586,27.2303,27.0479,26.9056,26.9731,26.7265,26.9272,26.8301,27.2378,27.0317,27.3909,27.1381,26.654,26.6748,26.8619,26.9002,27.0225,26.4341,27.5893,27.0414,27.0023,27.0708,26.993,26.8247,26.9175,27.2086,27.0927,26.676,27.1811,26.978,26.9146,27.1392,26.366,27.6113,27.0618,27.086,27.0844,26.8089,27.1691,26.9509,27.0352,27.0864,26.798
9,12:27:15 PM,26.8557,26.9157,26.8414,27.1187,26.9142,26.8985,27.0509,26.9286,26.9728,26.9944,26.8637,27.1221,27.0045,26.9457,27.0158,27.0184,26.9306,26.991,26.9302,26.9204,27.1848,27.0111,26.9413,26.9254,26.8428,27.107,27.2975,27.1748,26.8827,26.9201,27.1404,27.2681,27.0267,27.2332,27.0671,27.1874,27.0437,27.1441,26.9972,27.0059,26.9437,27.0398,27.213,27.2451,27.0559,27.0213,27.111,27.1789,26.9182,26.8145,27.2188,27.1201,27.0539,27.61,27.2464,27.4745,26.9494,27.0882,27.0917,26.7523,26.9167,26.8853,26.8618,26.9859,26.5861,27.1578,26.7635,26.5369,26.8543,26.6539,27.5426,27.0933,27.0505,27.0252,27.1573,26.9232,26.7431,26.6732,27.3794,27.2306,26.9559,26.9736,26.6985,26.979,26.7717,27.1793,27.1948,27.1659,27.1477,26.6761,26.7387,26.9126,26.8823,27.0166,26.3596,27.5263,27.209,26.9559,26.9277,27.145,26.8989,27.0145,27.0995,26.9826,26.6042,26.8885,27.0909,26.7556,27.2395,26.3573,27.5851,27.0022,27.1213,27.0289,26.6572,27.0243,27.0032,27.1777,27.0831,26.9832
10,12:27:35 PM,27.0149,27.1274,26.9813,27.1418,26.9745,26.9467,26.9851,26.8698,26.9966,26.8172,26.892,27.0956,27.1235,27.1037,26.8787,26.9877,26.7678,27.0411,27.0446,27.0023,27.2195,27.0301,26.8679,26.8247,26.7063,27.1379,27.2947,27.1512,26.9984,26.8944,27.0601,27.1909,27.1325,27.3272,26.9221,27.261,27.1205,27.0418,26.9331,27.0904,26.931,27.0337,27.2514,27.2192,27.0161,27.0626,27.102,27.1422,26.8786,26.8181,27.231,27.1372,27.0016,27.5882,27.1243,27.3631,26.7641,27.1103,26.9995,27.0069,26.8203,26.9561,26.844,27.1065,26.7353,27.0373,26.8546,26.4368,26.6922,26.7271,27.4363,27.1846,27.0589,26.9982,27.0407,27.0038,26.8587,26.8236,27.3904,27.3351,26.8329,26.9572,26.8522,26.9948,26.641,27.21,27.0231,27.4194,27.2219,26.5016,26.9068,26.9378,26.7635,26.9955,26.4348,27.5555,27.239,27.0579,26.9267,26.9911,26.9271,26.8434,27.18,27.0701,26.8232,27.126,26.9621,26.9973,27.2563,26.339,27.6117,27.2401,27.0203,26.9658,26.7282,27.145,27.0169,27.1825,27.044,26.8842
